107374182400,25769803776,CONTAINS
107374182400,30064771072,CONTAINS
107374182400,30064771073,CONTAINS
107374182400,30064771074,CONTAINS
107374182400,30064771075,CONTAINS
107374182400,30064771077,CONTAINS
107374182400,30064771080,CONTAINS
107374182400,30064771082,CONTAINS
107374182400,30064771084,CONTAINS
107374182400,30064771086,CONTAINS
107374182400,30064771087,CONTAINS
107374182400,30064771088,CONTAINS
107374182400,30064771089,CONTAINS
107374182400,30064771092,CONTAINS
107374182400,30064771093,CONTAINS
107374182400,68719476736,CONTAINS
107374182400,90194313216,CONTAINS
107374182400,68719476737,CONTAINS
107374182400,90194313217,CONTAINS
107374182400,68719476738,CONTAINS
107374182400,30064771076,CONTAINS
107374182400,90194313218,CONTAINS
107374182400,30064771078,CONTAINS
107374182400,90194313219,CONTAINS
107374182400,30064771081,CONTAINS
107374182400,90194313220,CONTAINS
107374182400,30064771083,CONTAINS
107374182400,90194313221,CONTAINS
107374182400,30064771085,CONTAINS
107374182400,68719476745,CONTAINS
107374182400,68719476746,CONTAINS
107374182400,68719476747,CONTAINS
107374182400,68719476748,CONTAINS
107374182400,68719476749,CONTAINS
107374182400,68719476750,CONTAINS
107374182400,68719476751,CONTAINS
107374182400,68719476752,CONTAINS
107374182400,68719476753,CONTAINS
107374182400,30064771090,CONTAINS
107374182400,90194313223,CONTAINS
107374182400,68719476755,CONTAINS
107374182400,68719476756,CONTAINS
107374182400,68719476739,CONTAINS
107374182400,55834574848,CONTAINS
107374182400,30064771079,CONTAINS
107374182400,68719476741,CONTAINS
107374182400,68719476742,CONTAINS
107374182400,68719476743,CONTAINS
107374182400,68719476744,CONTAINS
107374182400,55834574850,CONTAINS
107374182400,30064771091,CONTAINS
107374182400,90194313222,CONTAINS
107374182400,68719476740,CONTAINS
107374182400,55834574849,CONTAINS
107374182400,68719476754,CONTAINS
107374182400,55834574851,CONTAINS
107374182401,25769803777,CONTAINS
107374182401,167503724545,CONTAINS
107374182402,25769803778,CONTAINS
107374182403,25769803779,CONTAINS
107374182404,25769803780,CONTAINS
107374182405,25769803781,CONTAINS
107374182406,25769803782,CONTAINS
107374182407,25769803783,CONTAINS
167503724544,107374182400,CONTAINS
167503724544,107374182401,CONTAINS
